user_id,attraction_id,visit_year,visit_month,rating,visit_mode_id
24,2,2021,11,3.0,3
81,2,2021,2,4.0,5
38,2,2023,8,5.0,3
25,8,2021,9,4.0,3
16,8,2024,11,5.0,5
24,1,2024,10,,4
100,3,2021,1,4.0,5
8,5,2023,2,5.0,5
58,4,2023,9,4.0,3
23,10,2024,12,3.0,5
83,4,2022,1,4.0,3
41,4,2024,6,3.0,4
20,10,2023,8,4.0,2
90,5,2022,1,1.0,4
34,1,2021,10,5.0,1
25,9,2022,3,5.0,2
46,4,2023,12,,3
97,1,2022,3,5.0,5
74,5,2022,4,2.0,4
64,8,2021,1,2.0,5
17,1,2022,11,4.0,1
24,10,2021,3,4.0,2
65,4,2024,9,3.0,2
81,9,2021,4,4.0,4
70,6,2021,7,4.0,1
65,5,2024,9,3.0,4
30,2,2021,7,5.0,2
56,8,2024,2,,3
19,1,2024,4,3.0,3
19,9,2024,12,4.0,3
21,8,2022,1,3.0,4
81,2,2021,5,4.0,5
40,5,2021,10,4.0,1
81,2,2024,3,99.0,2
34,8,2024,7,2.0,2
13,2,2021,11,,3
52,3,2022,5,3.0,4
16,9,2022,5,4.0,2
28,8,2023,5,99.0,2
33,1,2021,12,5.0,3
90,9,2024,7,2.0,2
13,6,2023,11,1.0,1
63,3,2021,5,2.0,5
50,1,2021,12,4.0,1
65,5,2021,9,5.0,1
40,8,2024,4,3.0,5
71,10,2023,6,3.0,5
3,1,2021,3,4.0,1
31,6,2023,3,5.0,4
23,9,2024,11,1.0,4
35,4,2024,7,1.0,1
58,8,2022,11,5.0,3
35,6,2022,11,5.0,5
20,2,2021,2,4.0,3
21,3,2021,10,2.0,2
81,10,2024,5,5.0,5
57,4,2021,6,3.0,2
84,2,2023,2,4.0,2
24,3,2021,11,3.0,1
27,7,2023,3,5.0,1
80,3,2023,12,5.0,4
58,3,2024,8,4.0,2
69,9,2022,9,4.0,5
99,8,2021,4,4.0,2
97,7,2024,10,3.0,3
62,4,2022,2,4.0,5
2,7,2023,5,2.0,4
17,7,2023,2,3.0,1
41,9,2024,9,4.0,3
33,2,2024,9,4.0,5
97,2,2021,11,4.0,2
85,9,2024,6,3.0,5
83,7,2024,2,2.0,1
89,8,2023,2,5.0,3
90,7,2022,12,5.0,3
16,2,2021,4,3.0,5
62,2,2024,11,4.0,4
13,3,2024,10,3.0,4
3,5,2024,7,3.0,5
45,10,2023,4,3.0,4
41,8,2023,6,3.0,3
10,2,2024,10,3.0,4
71,6,2022,3,2.0,2
43,4,2023,7,4.0,2
66,2,2024,8,,3
93,1,2021,10,3.0,3
85,2,2022,5,4.0,3
68,9,2024,10,4.0,1
50,7,2022,11,2.0,3
53,10,2021,8,5.0,5
44,4,2024,4,4.0,1
49,6,2023,12,4.0,2
7,6,2024,7,4.0,5
89,9,2024,5,2.0,4
74,9,2024,3,4.0,3
34,1,2024,10,99.0,3
47,9,2021,11,3.0,4
7,5,2021,8,,4
20,6,2021,7,99.0,1
51,10,2021,8,4.0,1
50,6,2024,10,3.0,2
79,8,2024,10,5.0,4
7,2,2022,2,5.0,5
89,1,2024,10,5.0,3
75,1,2023,6,4.0,2
66,1,2023,10,4.0,2
100,3,2022,1,4.0,2
100,10,2021,10,5.0,4
3,3,2021,9,4.0,2
48,9,2022,12,3.0,1
84,5,2021,8,99.0,3
22,3,2022,1,4.0,3
87,10,2023,11,3.0,4
9,2,2021,10,4.0,4
3,3,2024,4,4.0,1
98,4,2021,3,99.0,4
90,3,2022,2,5.0,4
56,3,2024,9,4.0,1
92,7,2024,7,4.0,1
20,10,2022,4,4.0,3
23,3,2021,11,1.0,1
93,1,2023,2,4.0,4
99,1,2022,7,4.0,3
99,9,2021,2,5.0,5
94,9,2022,9,1.0,4
25,3,2024,1,2.0,4
27,6,2021,9,3.0,4
65,8,2021,7,2.0,5
72,7,2024,1,4.0,5
90,1,2021,12,2.0,4
57,5,2022,6,2.0,4
19,1,2024,6,4.0,2
92,7,2021,5,4.0,4
84,9,2022,1,4.0,3
50,6,2021,8,3.0,2
67,5,2023,1,2.0,3
86,9,2022,9,,3
13,10,2021,6,4.0,4
22,8,2024,11,3.0,3
13,6,2021,9,4.0,4
92,3,2021,11,2.0,3
32,1,2024,8,5.0,3
17,9,2022,11,5.0,5
46,7,2024,2,3.0,3
86,10,2021,11,5.0,3
1,3,2023,8,4.0,5
38,2,2024,9,4.0,1
97,1,2022,11,4.0,2
13,9,2024,7,4.0,2
87,2,2021,12,5.0,2
35,7,2024,4,5.0,1
79,2,2022,7,4.0,2
5,6,2022,10,4.0,4
16,10,2021,3,4.0,1
23,7,2022,11,5.0,5
45,9,2023,6,4.0,2
56,3,2023,12,5.0,5
58,7,2022,3,4.0,1
4,2,2023,6,3.0,2
93,1,2022,10,,1
2,4,2023,6,2.0,1
60,10,2024,2,3.0,5
14,8,2024,4,4.0,3
16,6,2022,1,3.0,4
11,5,2024,7,4.0,2
84,7,2021,6,1.0,3
57,1,2023,8,4.0,5
23,4,2021,10,2.0,5
46,6,2024,2,5.0,2
28,7,2022,12,5.0,3
13,8,2021,12,4.0,1
49,8,2022,8,5.0,2
55,10,2022,6,4.0,1
58,4,2021,9,4.0,5
45,5,2021,4,5.0,3
68,2,2021,1,3.0,3
49,9,2023,3,5.0,3
22,6,2022,8,99.0,5
26,6,2023,2,5.0,5
89,2,2024,7,2.0,1
32,3,2024,3,3.0,1
100,8,2022,6,5.0,5
94,2,2022,5,3.0,2
72,2,2022,11,3.0,3
83,5,2024,9,4.0,5
59,10,2021,11,5.0,2
22,4,2021,9,5.0,1
56,1,2021,9,4.0,1
37,4,2021,12,3.0,1
12,8,2024,8,4.0,5
47,2,2022,5,2.0,2
96,4,2021,12,2.0,5
17,10,2022,3,2.0,3
79,7,2024,7,3.0,1
44,5,2022,1,2.0,3
26,1,2024,11,2.0,2
54,5,2023,4,3.0,4
6,2,2021,6,3.0,3
55,1,2024,8,4.0,3
7,9,2022,4,3.0,1
79,10,2024,3,5.0,3
43,5,2024,2,4.0,1
100,7,2021,7,,2
3,3,2022,2,4.0,3
70,1,2023,1,3.0,2
7,4,2024,8,5.0,2
13,2,2024,10,1.0,3
30,6,2022,9,5.0,2
71,5,2022,7,1.0,2
38,4,2023,8,4.0,3
99,7,2024,6,2.0,1
71,2,2021,5,3.0,4
53,3,2022,4,4.0,5
78,6,2022,2,4.0,5
72,1,2021,11,5.0,4
22,8,2023,6,3.0,4
70,5,2022,10,3.0,4
32,1,2023,4,3.0,2
52,6,2022,11,3.0,5
91,10,2024,6,4.0,4
58,5,2023,12,4.0,3
38,5,2022,10,99.0,1
27,5,2022,10,5.0,3
76,1,2021,10,4.0,5
24,10,2024,9,4.0,2
72,8,2023,7,5.0,1
35,7,2021,3,3.0,3
81,1,2023,2,3.0,3
97,8,2022,12,4.0,2
32,2,2024,1,2.0,3
32,7,2023,9,5.0,4
38,3,2021,4,4.0,2
85,8,2024,12,2.0,2
89,3,2023,4,4.0,4
69,1,2022,9,4.0,2
17,5,2022,5,5.0,1
64,2,2022,4,4.0,5
3,6,2023,8,3.0,1
90,7,2023,7,5.0,1
85,9,2022,8,5.0,5
19,8,2023,7,4.0,3
63,1,2023,10,5.0,2
5,1,2021,5,1.0,3
11,1,2021,6,5.0,2
31,2,2021,8,5.0,1
63,2,2023,4,,3
60,1,2023,5,4.0,1
74,6,2023,1,5.0,4
4,1,2022,8,4.0,4
64,10,2023,2,5.0,2
6,7,2024,12,4.0,2
52,3,2023,3,,4
33,2,2021,6,5.0,5
11,10,2021,9,4.0,4
93,2,2023,4,3.0,1
74,5,2021,11,2.0,2
93,5,2024,10,5.0,3
86,6,2024,6,4.0,3
20,8,2024,4,,2
4,8,2024,7,5.0,5
36,6,2022,10,4.0,3
57,2,2021,12,5.0,1
2,9,2024,6,4.0,4
80,3,2023,10,1.0,4
100,2,2021,10,5.0,1
35,1,2024,7,4.0,2
32,5,2021,1,3.0,1
43,4,2023,11,5.0,2
48,6,2022,6,4.0,1
70,3,2021,5,2.0,1
46,5,2021,12,3.0,1
33,8,2022,1,3.0,1
62,10,2024,9,3.0,1
12,10,2023,2,4.0,3
13,3,2023,10,4.0,4
40,5,2021,6,3.0,2
76,10,2024,6,5.0,4
19,7,2021,8,,4
5,2,2023,6,1.0,3
38,5,2022,12,2.0,5
94,2,2021,1,4.0,1
47,6,2022,12,4.0,4
63,3,2022,6,5.0,5
71,5,2022,6,2.0,3
34,10,2021,6,4.0,2
89,9,2024,4,4.0,1
16,3,2024,12,5.0,2
80,2,2024,10,5.0,4
20,4,2024,4,3.0,2
55,5,2023,11,5.0,4
3,2,2024,3,3.0,1
32,2,2023,3,3.0,2
7,1,2023,6,4.0,2
78,6,2023,8,3.0,2
15,9,2023,1,2.0,3
99,3,2021,9,4.0,3
37,7,2021,8,4.0,4
77,7,2021,9,5.0,4
38,2,2023,1,3.0,5
52,2,2024,12,2.0,5
40,10,2022,4,4.0,1
86,10,2023,4,4.0,1
34,7,2023,2,3.0,2
61,4,2021,9,5.0,2
64,2,2022,7,4.0,4
9,1,2021,4,3.0,3
63,1,2022,5,5.0,3
13,7,2024,9,4.0,5
61,1,2022,5,5.0,2
55,4,2023,1,5.0,4
96,10,2023,11,1.0,1
41,10,2022,3,4.0,2
38,5,2022,7,2.0,4
34,8,2022,5,5.0,4
93,5,2022,2,4.0,4
4,10,2024,1,,1
98,7,2024,1,4.0,4
43,9,2024,7,3.0,2
1,8,2021,7,4.0,5
10,9,2024,12,4.0,1
98,4,2023,12,4.0,1
69,7,2022,9,4.0,2
75,8,2021,10,4.0,5
1,3,2023,9,4.0,4
13,5,2023,10,5.0,1
85,5,2024,4,1.0,2
100,6,2024,3,5.0,4
23,9,2021,4,4.0,1
1,10,2024,5,2.0,1
7,4,2023,6,5.0,5
25,5,2024,12,4.0,3
94,9,2022,2,3.0,2
66,6,2024,8,2.0,5
65,10,2021,2,5.0,4
79,6,2023,7,2.0,1
7,1,2022,3,3.0,2
3,3,2022,8,5.0,2
52,9,2023,8,4.0,1
81,2,2021,9,5.0,5
27,4,2024,7,5.0,5
25,9,2023,3,2.0,2
39,8,2021,1,3.0,1
92,5,2023,8,5.0,1
73,3,2024,3,5.0,2
40,5,2021,3,5.0,2
8,2,2022,5,5.0,4
80,1,2024,7,3.0,2
67,6,2022,2,3.0,1
98,3,2023,11,5.0,3
6,8,2023,4,3.0,4
48,4,2022,6,,3
84,10,2021,9,3.0,5
71,2,2024,9,2.0,4
97,8,2022,10,5.0,3
83,7,2022,2,4.0,4
100,3,2023,7,5.0,5
6,7,2024,4,4.0,4
62,9,2023,1,4.0,2
9,3,2022,12,3.0,4
74,7,2023,11,4.0,1
44,3,2021,3,5.0,2
89,10,2023,12,1.0,5
95,4,2021,1,4.0,1
87,2,2021,6,3.0,2
90,7,2021,1,4.0,3
51,2,2024,9,4.0,3
23,7,2021,9,5.0,5
58,6,2024,1,4.0,4
63,2,2024,10,5.0,2
97,5,2023,3,99.0,5
53,5,2024,4,4.0,1
46,3,2024,11,2.0,5
